Mutation Type,DBS1,DBS2,DBS3,DBS4,DBS5
AC>CA,4.97E-05,3.74E-04,6.35E-03,4.14E-03,2.14E-03
AC>CG,2.64E-05,3.17E-05,4.65E-05,4.96E-05,4.62E-04
AC>CT,4.29E-03,1.26E-04,3.02E-03,8.32E-18,2.02E-03
AC>GA,1.27E-04,2.37E-04,5.85E-03,4.40E-03,5.58E-04
AC>GG,5.71E-05,4.17E-18,4.50E-04,7.01E-18,1.11E-17
AC>GT,2.96E-03,2.80E-04,1.01E-02,1.12E-08,8.22E-04
AC>TA,1.20E-03,1.48E-03,1.01E-03,1.27E-03,1.48E-03
AC>TG,1.72E-04,6.36E-06,1.11E-17,5.31E-05,1.12E-03
AC>TT,2.65E-02,2.92E-03,1.78E-06,1.61E-04,7.47E-03
AT>CA,4.82E-04,3.78E-05,7.04E-03,9.16E-04,1.08E-04
AT>CC,2.97E-04,4.17E-18,9.08E-03,7.00E-18,2.13E-05
AT>CG,3.98E-06,4.17E-18,1.46E-02,9.46E-18,1.05E-17
AT>GA,2.12E-03,1.68E-04,1.81E-03,3.24E-04,1.11E-03
AT>GC,1.74E-04,5.85E-06,5.25E-03,1.76E-05,1.05E-17
AT>TA,2.34E-03,4.58E-04,2.35E-03,4.53E-03,7.93E-04
CC>AA,1.06E-05,7.24E-01,9.09E-03,7.00E-18,1.05E-17
CC>AG,1.23E-05,7.26E-02,1.11E-17,5.43E-03,2.43E-02
CC>AT,1.87E-02,1.00E-01,5.89E-03,1.57E-02,2.43E-03
CC>GA,1.34E-04,1.77E-02,6.35E-04,3.55E-03,6.76E-05
CC>GG,9.82E-05,4.50E-04,7.25E-05,7.30E-05,1.19E-05
CC>GT,6.92E-03,1.10E-03,1.14E-17,7.99E-05,2.48E-05
CC>TA,1.04E-02,1.60E-02,2.08E-02,1.70E-04,1.27E-03
CC>TG,2.55E-03,2.37E-04,2.90E-05,8.30E-06,4.81E-03
CC>TT,8.58E-01,4.17E-18,1.11E-17,7.00E-18,1.05E-17
CG>AT,6.03E-07,1.15E-03,2.84E-04,2.90E-04,1.64E-03
CG>GC,5.42E-06,3.69E-04,1.11E-17,5.10E-06,9.92E-05
CG>GT,1.70E-06,1.28E-03,1.11E-17,7.00E-18,6.48E-03
CG>TA,3.56E-04,4.17E-18,9.79E-02,7.00E-18,1.05E-17
CG>TC,1.26E-05,2.15E-03,7.22E-04,7.00E-18,2.98E-05
CG>TT,1.24E-04,5.56E-03,7.17E-03,3.61E-04,2.22E-03
CT>AA,2.77E-05,3.21E-03,1.03E-04,7.00E-18,4.66E-01
CT>AC,4.19E-04,4.17E-18,2.91E-02,7.00E-18,2.09E-01
CT>AG,2.85E-18,5.87E-04,1.14E-01,3.63E-04,2.67E-02
CT>GA,8.92E-05,1.81E-05,1.72E-05,6.73E-04,1.61E-02
CT>GC,2.52E-04,1.34E-04,2.69E-05,7.22E-05,4.85E-03
CT>GG,1.08E-05,8.98E-05,5.99E-05,9.26E-04,5.70E-04
CT>TA,7.81E-03,3.38E-03,1.84E-04,7.00E-18,3.34E-03
CT>TC,1.05E-02,3.84E-05,6.34E-03,7.00E-18,2.37E-04
CT>TG,2.24E-03,3.90E-04,5.22E-02,3.08E-05,8.74E-04
GC>AA,1.58E-03,5.08E-03,2.16E-05,3.28E-01,1.33E-04
GC>AG,1.07E-04,3.25E-04,5.22E-04,1.13E-02,2.66E-03
GC>AT,4.87E-05,9.53E-04,3.99E-03,9.24E-03,1.57E-03
GC>CA,5.76E-05,1.06E-03,2.37E-04,1.19E-02,4.58E-03
GC>CG,5.15E-06,6.69E-05,1.11E-17,9.83E-07,3.23E-04
GC>TA,8.27E-07,7.36E-04,4.23E-03,1.77E-02,2.22E-04
TA>AT,5.05E-04,2.75E-03,1.45E-03,3.04E-02,1.87E-03
TA>CG,7.55E-06,1.89E-05,3.34E-03,3.89E-04,7.89E-06
TA>CT,7.02E-04,2.80E-04,3.44E-04,8.72E-03,2.27E-03
TA>GC,2.01E-05,8.22E-05,1.99E-03,7.02E-05,5.22E-05
TA>GG,7.03E-05,7.89E-05,5.46E-03,2.22E-03,1.63E-03
