Mutation Type,ID1,ID2,ID3,ID4,ID5
DEL_C_1_0,0.000159889,0.004824116,0.124727109,0.007249717,0.022202108
DEL_C_1_1,0.000773523,2.21E-05,0.208876169,0.002734869,0.028547215
DEL_C_1_2,3.31E-18,3.11E-06,0.176324217,0.002041063,0.026596927
DEL_C_1_3,0.001907613,0.002472076,0.064042764,0.001112283,0.014159122
DEL_C_1_4,0.00070599,0.003856976,0.043989808,0.001075684,0.002873422
DEL_C_1_5+,0.003370115,0.014615424,0.022417486,0.002246178,0.002602449
DEL_T_1_0,0.001311605,0.007905966,0.03759923,0.006635052,0.101481149
DEL_T_1_1,3.31E-18,3.95E-18,0.013309824,0.001622466,0.106099611
DEL_T_1_2,0.000936453,0.007036418,0.016501851,0.002633405,0.114128464
DEL_T_1_3,0.002295855,0.020234743,0.020141477,0.000306038,0.088962208
DEL_T_1_4,0.004291422,0.047119925,0.015814364,0.001023202,0.052259532
DEL_T_1_5+,3.31E-18,0.814697222,0.008066314,0.000154442,0.030610523
INS_C_1_0,3.31E-18,3.95E-18,0.002083092,6.62E-18,0.000542252
INS_C_1_1,3.31E-18,0.000227026,0.001578887,0.000272399,0.001242898
INS_C_1_2,3.31E-18,2.62E-05,0.001747946,6.88E-05,0.003151667
INS_C_1_3,0.000845986,0.00043005,0.006177647,0.000512481,0.000602848
INS_C_1_4,0.001785525,0.002911846,0.007104447,6.62E-18,0.000197582
INS_C_1_5+,0.024296536,0.009017536,0.007351101,0.000249143,0.000433544
INS_T_1_0,0.002283824,0.001328556,0.018722365,0.000333665,0.006361965
INS_T_1_1,4.03E-05,3.95E-18,0.043119029,0.001010044,0.013462697
INS_T_1_2,0.000192865,0.000647033,0.04015704,1.06E-05,0.029721144
INS_T_1_3,0.004243267,0.001082879,0.025125434,0.000173935,0.01884025
INS_T_1_4,0.016649127,0.003487461,0.006563305,1.60E-05,0.011268752
INS_T_1_5+,0.890906464,0.003132585,0.026181239,0.000832926,0.001439215
DEL_repeats_2_0,0.000686046,0.000163809,0.006897553,0.071724214,0.028054407
DEL_repeats_2_1,0.001219969,0.003568885,0.008474654,0.23051288,0.024562729
DEL_repeats_2_2,0.000472749,0.001849574,0.011800641,0.055059396,0.004562618
DEL_repeats_2_3,0.00042672,0.000739044,0.006671125,0.012811006,0.000395919
DEL_repeats_2_4,5.46E-05,0.000881932,0.002822525,0.003219218,0.000867563
DEL_repeats_2_5+,3.31E-18,4.67E-18,0.000101239,0.002382721,0.02142678
DEL_repeats_3_0,0.000128045,1.25E-05,0.000589124,0.005068954,0.01713637
DEL_repeats_3_1,0.005011085,0.005003258,0.000372386,0.097114466,0.005909794
DEL_repeats_3_2,0.000769383,0.002289891,9.63E-05,0.021484282,0.00084271
DEL_repeats_3_3,0.000371256,0.000402587,2.45E-05,0.003837627,0.000621155
DEL_repeats_3_4,3.31E-18,3.97E-18,3.82E-06,0.000786295,0.005867075
DEL_repeats_3_5+,3.31E-18,3.95E-18,3.83E-07,0.001138609,0.008378911
DEL_repeats_4_0,9.97E-05,1.21E-05,0.000177645,0.007252429,0.010791265
DEL_repeats_4_1,0.000900503,0.002115787,0.000634573,0.06352373,0.002843569
DEL_repeats_4_2,3.23E-06,0.000543292,0.000116799,0.014548922,0.000164644
DEL_repeats_4_3,3.31E-18,7.27E-06,4.12E-18,0.004554752,0.003877814
DEL_repeats_4_4,3.31E-18,3.95E-18,4.12E-18,0.000849679,0.004557254
DEL_repeats_4_5+,2.89E-05,0.000210413,2.83E-06,0.00061078,0.001584436
DEL_repeats_5+_0,8.35E-06,3.85E-05,0.001776785,0.004132826,0.018447949
DEL_repeats_5+_1,0.000190676,0.002977512,7.41E-05,0.015718533,0.000410335
DEL_repeats_5+_2,0.000126355,0.000397525,2.78E-06,0.002343845,0.000470925
DEL_repeats_5+_3,1.89E-05,0.000158151,4.12E-18,0.00118248,0.000257167
DEL_repeats_5+_4,3.11E-06,8.47E-05,4.37E-05,0.000146923,9.73E-05
DEL_repeats_5+_5+,3.13E-05,2.12E-05,3.82E-06,0.000106174,0.000585018
INS_repeats_2_0,0.000402036,0.000331853,0.00263595,0.000492922,0.006349454
INS_repeats_2_1,7.88E-06,0.000271665,0.002242683,0.000553302,0.018387642
INS_repeats_2_2,0.000221347,0.001035341,0.000955604,0.000266335,0.007207952
INS_repeats_2_3,0.000514268,0.000381326,0.000897238,0.000137794,0.001172292
INS_repeats_2_4,0.0029131,0.001977423,0.000253085,7.19E-05,6.88E-05
INS_repeats_2_5+,0.018121584,0.013633376,6.67E-06,0.000103689,0.000994122
INS_repeats_3_0,3.06E-07,5.78E-05,9.60E-05,2.63E-05,0.003792478
INS_repeats_3_1,0.000254695,0.00122705,0.000286144,0.000450983,0.006122761
INS_repeats_3_2,4.41E-05,0.000210075,9.75E-05,0.000600335,0.001143468
INS_repeats_3_3,0.000166702,3.02E-06,1.36E-05,7.42E-05,1.02E-05
INS_repeats_3_4,8.89E-05,0.000141807,1.56E-06,7.40E-05,1.18E-05
INS_repeats_3_5+,0.001248696,0.001864707,4.12E-18,3.96E-05,0.000102574
INS_repeats_4_0,3.31E-18,1.68E-05,4.12E-18,0.000166645,0.002439186
INS_repeats_4_1,0.000744381,0.001203728,0.000175982,0.001266435,0.003612298
INS_repeats_4_2,7.55E-05,1.22E-05,2.74E-05,9.84E-05,0.000376459
INS_repeats_4_3,0.000157544,0.000134169,4.77E-05,5.25E-05,1.87E-06
INS_repeats_4_4,0.000319653,0.000249385,4.18E-06,0.000146911,6.41E-06
INS_repeats_4_5+,0.00100132,0.002193545,3.29E-05,0.000135205,0.000635977
INS_repeats_5+_0,3.31E-18,3.95E-18,8.83E-05,8.58E-05,0.004750071
INS_repeats_5+_1,0.001443126,0.000135658,0.00065622,0.002135852,0.004793431
INS_repeats_5+_2,0.000254832,5.53E-06,5.51E-06,0.000222027,0.000298796
INS_repeats_5+_3,0.000237087,9.77E-05,3.32E-05,7.59E-06,0.000165546
INS_repeats_5+_4,0.000261865,2.15E-06,7.87E-06,2.53E-05,0.000126707
INS_repeats_5+_5+,0.000119834,0.000115629,3.48E-06,0.000160229,0.000626342
DEL_MH_2_1,0.001197815,0.000175553,0.006930764,0.18899749,0.028687946
DEL_MH_3_1,8.19E-05,5.46E-07,0.000344612,0.007034156,0.013157147
DEL_MH_3_2,0.001479593,0.002944063,0.00030285,0.049416601,0.00900421
DEL_MH_4_1,8.38E-05,0.000147005,7.35E-05,0.010981719,0.008732202
DEL_MH_4_2,0.000145479,0.000550614,0.000340216,0.029483877,0.006047187
DEL_MH_4_3,0.000160684,0.000693566,0.000130463,0.04886664,0.003442442
DEL_MH_5+_1,8.16E-07,0.000624963,0.001369634,0.000453121,0.008617073
DEL_MH_5+_2,2.38E-10,0.000117708,0.001751272,0.000136232,0.007851021
DEL_MH_5+_3,2.33E-12,5.67E-05,0.000774958,0.001112236,0.007157975
DEL_MH_5+_4,3.88E-05,0.000462842,0.000640555,0.003652946,0.002492549
DEL_MH_5+_5+,0.000665116,0.002367319,0.00036297,4.56E-05,0.001112367
